Comment,Rating,Date
"I came here this passed Sunday for brunch. We had a reservation for 11:30 and they started letting people in at 11:28 approximately. They also sat us at 11:40 I think or so. I was concerned if we would have enough time because brunch ends at 2:00 p.m. I was wrong we had more than enough time and I loved this brunch. When we were seated everything was fresh and ready. They started with the rotating meats. Our waiter was very friendly and informative. They have all day happy hour and I had two drinks. The buffet has everything you could imagine, rice and beans along with soup. I had the rice and beans. Then I had different salads and fruits. The fruits were delicious and fresh. The buffet area was immaculately clean. I also had vanilla parfait which was good. The meats were very good and it was hot. I am concerned with the temperature of the foods in buffets. I am happy to say all the food was at the correct temperature. The salads and fruits were cold and fresh. The meat and hot items were hot and fresh as well. There was a good amount of variety in the meat selection. They would ask what type of temperature do you and for the meat. I liked that because everyone has a preference. I also loved the sides which they gave us the polenta fries were my favorite and the mashed potatoes were also delicious. They have delicious hot sauce and a green sauce.There were a couple of items which I did not enjoy the lamb, the pork Parmesan and chicken wrapped in bacon. The chicken wrapped in bacon, the chicken was dry. The Parmesan pork, was a bit dry and the coating of the Parmesan on the pork did not work for me. The lamb was not flavorful. The place is quite beautiful and perfect place for a gathering or dinner. The place has a lot of lighting which I like. My favorite part is no one rushed us which was great. Someone came to check on us and asked us if we were enjoying the restaurant. Everyone works as a team, and it shows because various people would help us when we asked for something. I am looking forward to going back.",5.0,"Jan 31, 2024"
"I came here last night and I must say I was unsure of what to expect due to all the negative reviews. But I was pleasantly surprised. Now we went to the launch party which means we did not eat the buffet. So my review is about the appetizers, drinks and bar area upstairs. So the food, was good and most of it was fresh and well seasoned. When we came in we were given champagne which was very good and they had two tables filled with shrimp cocktail, cheese bread, charcuterie board and artichoke and spinach dip. This was a very nice spread which was very fresh. Then they also had waiters with appetizers and this was also delicious. They had lamb chops which were really well seasoned and cooked perfectly. The lamb chops were juicy. Also the beef empanadas were also very good. They had shrimp and lobster lettuce wraps. This was very good as well but they said tacos. To me a taco is not a lettuce wrap. That's just my opinion but it was also very fresh and had the right balance. What I did not like the way they make chicken. They had chicken sliders they were dry and even when I added the sauce it was dry. They had pierces of chicken, the same thing it looked dry. Then they wings and those were perfect. The wings had a bbq sauce and they were coated in the sauce and it was absolutely delicious. So my recommendation is use that recipe for the chicken in the sliders. Now the grilled cheese was delicious and we ate so much of it.The service was amazing the staff asked if you needed anything and were very friendly. The bartender Sarah  was awesome very friendly and her drinks were perfect. Also Andrea was so nice as well making sure we had everything we needed. Overall I would definitely recommend this place and come back for the hh. They have drink specials and food hh.",4.0,"Apr 8, 2022"
"- super large venue- they have it down to a science where everything is refilled on time, the meats are coming sporadically (not as consistent as we wanted), and the staff are well rehearsed- took 20 minutes to sit down; they told us to ""go to the bar,"" but then after 20 minutes we checked with them and they said they called us out loud but since we were at the bar, we didn't hear them- filet mignon was my favorite, but took until the very end to come by- the cheese bread is insanely good- chicken drumsticks; wish they had wings- the sausage was excellent- martini and alcoholic drinks were well made and mixedOverall, professional staff, good quality food, and clean. It was very busy, and the meat flow was slower, but would come again.",4.0,"Dec 8, 2023"
"We made a reservation for thanksgiving at 5:45 and walked in right before, the place was packed and they made us wait for over an hour, we did not get seated until 7pm The meat service was so slow and we didn't get to try the things we really wanted to. The service was slow, too. It took them an additional thirty minutes to bring our check I received an email for a complimentary dessert and when I ordered it, I still got charged for it. So what was the point? Not worth the 100+ per person Overall 3/10",1.0,"Nov 24, 2023"
"You should always be seated at your reservation time, Ali, and we're sorry to keep you waiting. Our team would like to work towards a chance to give you a better experience in the future. If you are willing, please contact us at feedback@fogo.com with the best way to reach you. Kind regards. ",5.0,"Jan 16, 2024"
"This was my first time visiting the Manhattan Fogo De Chao location. This location is beautiful and huge. There are multiple floors. I was seated on the lower level. The staff were very attentive and they provided excellent customer service. For my meal, I had the Churrasco Experience which consisted of different signature cuts of fire roasted meats. I had the pork sausage, pork belly, chicken wrapped with bacon, chicken leg, filet mignon and sirloin steak. Everything was well prepared and delicious. I went to the Market Table and Feijoada Bar and I took advantage of the different varieties of salads. I had the white rice with beans, potato salad, chicken salad, corn salad, Caesar salad and tomatoes. I enjoyed my meal and drinks. I ordered two drinks the Cucumber Mint Smash and Passionate Caipirinha. The drinks were very tasty. I was stuffed and very satisfied. I'll definitely come back to this location in the future. Great experience!",4.0,"Feb 13, 2024"
"Snow day in NYC was a good excuse to skip breakfast and go right to lunch. And when I say lunch this probably will be your only meal for the day. Here's the set up. You wait to be seated at a cavernous space downstairs across MOMA, at an emporium of meat. Yes there is a full salad buffet and some additional classic hot dishes like feijoada, but you're here for the meat. Lunch is $50 AYCE. Drinks and dessert is not included. For that $, you get unlimited selections of churrasco meats, which are constantly brought out in a steady procession. You need to pace yourself through various parts of chicken, drumsticks  and breast wrapped in bacon. If you're waiting for the beef, you will also be tempted by pork chops and also lamb. Assuming you waited patiently, the beef lover in you will rejoice in multiple different cuts from classic filet mignon to picanha all served to your liking from rare to well done. Naturally all the meat also comes with side dishes of mashed garlic potatoes, fried polenta, fried banana and of course cheese bread or pao de queijo. No pressure to finish what you don't like and they will gladly swap your plate. I felt that the servers struggled a bit to keep the cuts thin enough as well as not too overcooked. The lighting is dim so that doesn't help when you want to get medium rare and waiter thinks it's well done.  All in with tax, soda , gratuity we paid around $140 for 2. To save some $$ , buy gift cards from Costco $100 for $80 to help offset the total. Would you come back frequently? Probably not but occasional meat sweats from this well established chain is worth the experience.",4.0,"Oct 28, 2023"
"So good!!Came here for the best of Brazil deal ($44) and it was amazing.Loved all the cuts of meat, especially the picanha and bottom sirloin. Didn't see any pork or lamb, but I prefer beef anyway so nbd. Might have to request for specific cuts since it sometimes takes a while for meats to get to you. Excellent service and great way to celebrate my birthday early!",4.0,"Oct 27, 2023"
"Huge steak house. The ambience is beautiful. The food was good, but it seemed that the meat quality wasn't great . We got the Churrasco  Experience . Some of the choices were good, some not at all. The Churrasco experience comes with buffet MARKET TABLE & FEIJOADA BAR, which had good selection of appetisers. We didn't like The detests  at all. The lava cake was super dry and ice cream felt like a regular supermarket ice cream. The service was ok as well. You are supposed to flip the sticker on the table to green side when you are ready for another piece of meat. I wish they were more attentive, as sometimes we had to call them, as they'd just pass by without getting to our table , although our stickers were with green side up .So overall we had good time, but should we return- no .",5.0,"Nov 2, 2023"
As you know I love Fogo but this is my first time visiting the one in Manhattan. This place is beautiful! This location has all day happy hour at the bar. Score! Lol the decor blows u away as soon as your walking downstairs to your table. The salad bar never disappoints and the meats were cooked to perfection. My goal is to visit as many Fogos in as many locations as I can. If you have never experienced Fogo please do yourself a favor!!,4.0,"Oct 31, 2023"
